timestamp,open,high,low,close,volume
2023-09-15 19:45:00,174.7800,174.9000,174.7600,174.8300,10377
2023-09-15 19:30:00,174.7500,174.9000,174.7000,174.8700,4011
2023-09-15 19:15:00,174.9000,174.9000,174.7000,174.7000,10149
2023-09-15 19:00:00,174.9250,174.9300,174.8500,174.8900,6767
2023-09-15 18:45:00,174.9300,174.9300,174.9100,174.9250,3945
2023-09-15 18:30:00,174.9800,174.9800,174.9100,174.9100,8146
2023-09-15 18:15:00,174.9200,174.9800,174.9100,174.9500,6541
2023-09-15 18:00:00,174.9300,174.9400,173.8350,174.9250,4120
2023-09-15 17:45:00,174.9700,174.9700,174.9100,174.9300,9242
2023-09-15 17:30:00,174.9500,181.6570,174.9000,174.9500,16627
2023-09-15 17:15:00,175.0050,181.8560,164.2920,174.9650,30646
2023-09-15 17:00:00,175.0100,175.0300,174.9800,175.0100,85468
2023-09-15 16:45:00,175.0000,175.0400,174.4670,175.0100,253231
2023-09-15 16:30:00,174.9700,175.2000,174.4150,175.0100,150460
2023-09-15 16:15:00,175.0100,175.0200,174.9600,174.9700,2221389
2023-09-15 16:00:00,174.9450,175.0710,174.9300,174.9850,64740011
2023-09-15 15:45:00,174.7100,175.1200,174.6300,174.9600,5719463
2023-09-15 15:30:00,174.7700,174.9500,174.6400,174.7000,3631944
2023-09-15 15:15:00,174.4100,174.8000,174.4100,174.7700,1924488
2023-09-15 15:00:00,174.3800,174.4500,174.1390,174.4300,1487052
2023-09-15 14:45:00,174.3800,174.5600,174.2200,174.3700,1625028
2023-09-15 14:30:00,174.2400,174.4700,174.1550,174.3950,1116592
2023-09-15 14:15:00,174.3610,174.6300,174.1600,174.2450,1541736
2023-09-15 14:00:00,174.2600,174.5200,174.1600,174.3700,1644291
2023-09-15 13:45:00,174.2100,174.2900,174.1200,174.2600,1017956
2023-09-15 13:30:00,174.0700,174.2900,173.8200,174.2100,2004014
2023-09-15 13:15:00,174.6100,174.6700,174.0100,174.0800,1907005
2023-09-15 13:00:00,174.9900,175.0400,174.6000,174.6100,1157613
2023-09-15 12:45:00,174.8500,174.9900,174.7500,174.9900,832184
2023-09-15 12:30:00,174.7300,175.0150,174.6750,174.8410,1577898
2023-09-15 12:15:00,174.9800,174.9800,174.7100,174.7400,913889
2023-09-15 12:00:00,174.9600,175.1500,174.8200,174.9900,1407961
2023-09-15 11:45:00,174.8200,175.0000,174.6700,174.9520,2350290
2023-09-15 11:30:00,174.8600,174.9500,174.5900,174.8210,1220446
2023-09-15 11:15:00,175.0100,175.1150,174.6100,174.8660,1549760
2023-09-15 11:00:00,174.5700,176.3700,174.5250,175.0000,2010229
2023-09-15 10:45:00,175.1500,175.2680,174.5600,174.5700,2467815
2023-09-15 10:30:00,175.1500,175.3800,174.8600,175.1600,2234665
2023-09-15 10:15:00,174.7500,175.3600,174.5500,175.1600,2788038
2023-09-15 10:00:00,175.0000,175.8900,174.6800,174.7300,3409313
2023-09-15 09:45:00,175.1090,175.5000,174.6900,174.9850,3320057
2023-09-15 09:30:00,176.4800,176.4950,174.8000,175.1110,17016721
2023-09-15 09:15:00,177.0600,177.3100,175.5000,176.4500,900777
2023-09-15 09:00:00,177.1700,177.4300,177.0000,177.0800,246993
2023-09-15 08:45:00,175.8600,177.5000,175.8200,177.1000,470960
2023-09-15 08:30:00,176.0400,176.1550,175.7400,175.9000,68927
2023-09-15 08:15:00,176.3200,176.3950,175.5200,176.0700,95724
2023-09-15 08:00:00,175.7400,176.8800,175.7400,176.2700,151372
2023-09-15 07:45:00,176.2300,176.3400,176.0300,176.0600,18009
2023-09-15 07:30:00,175.9600,176.2900,175.9600,176.2100,10362
2023-09-15 07:15:00,176.0100,176.0600,175.8100,176.0000,35481
2023-09-15 07:00:00,176.3600,176.4700,176.0000,176.0100,48614
2023-09-15 06:45:00,176.4200,176.5000,176.3200,176.4300,10626
2023-09-15 06:30:00,176.2900,176.4500,176.2200,176.4500,3293
2023-09-15 06:15:00,176.3800,176.3800,176.1700,176.2900,28012
2023-09-15 06:00:00,176.1700,176.3500,176.0900,176.3100,7405
2023-09-15 05:45:00,176.1700,176.1800,176.0700,176.1700,6135
2023-09-15 05:30:00,176.1000,176.2200,176.0300,176.1400,4521
2023-09-15 05:15:00,175.9900,176.1200,175.9600,176.0900,3654
2023-09-15 05:00:00,176.0500,176.0900,175.9300,176.0000,8507
2023-09-15 04:45:00,175.9900,176.0800,175.9100,176.0300,12069
2023-09-15 04:30:00,176.1000,176.3000,175.9300,175.9900,14989
2023-09-15 04:15:00,176.1800,176.1800,176.0000,176.1100,11790
2023-09-15 04:00:00,176.0000,176.4400,176.0000,176.1600,17672
2023-09-14 19:45:00,175.8500,175.9300,175.7500,175.8100,9667
2023-09-14 19:30:00,175.8400,175.9000,175.8000,175.8700,7535
2023-09-14 19:15:00,175.8000,175.9000,175.7500,175.8700,4941
2023-09-14 19:00:00,175.7800,175.8900,175.7000,175.8800,12254
2023-09-14 18:45:00,175.7400,175.8800,175.7000,175.7600,9234
2023-09-14 18:30:00,175.7300,175.7900,175.6600,175.7100,15381
2023-09-14 18:15:00,175.7000,175.7500,175.6100,175.7400,2589
